stn    time           tre200dx  tre200dn  tre200d0
TAE    20180101            8.9       3.7       5.8
TAE    20180102            5.4       2.0       3.8
TAE    20180103           13.4       3.3       6.5
TAE    20180104           12.1       3.3       8.0
TAE    20180105           12.4       6.7       9.6
TAE    20180106            7.1       2.5       5.7
TAE    20180107            5.9       3.1       4.2
TAE    20180108            6.3       2.6       3.6
TAE    20180109           12.3       0.8       5.0
TAE    20180110            5.9      -1.6       2.5
TAE    20180111            6.6      -0.1       2.8
TAE    20180112            3.2       1.7       2.5
TAE    20180113            3.3      -4.1       0.9
TAE    20180114            0.9      -5.1      -1.0
TAE    20180115            6.0      -4.3       0.9
TAE    20180116            9.2       2.5       6.0
TAE    20180117            4.6      -0.4       1.8
TAE    20180118            7.7       1.0       4.7
TAE    20180119            6.5       1.8       3.8
TAE    20180120            6.3       0.7       3.3
TAE    20180121            6.4       0.0       2.9
TAE    20180122            9.1       0.4       7.0
TAE    20180123            7.5       0.1       5.0
TAE    20180124           11.2       2.3       6.5
TAE    20180125           10.7       2.4       7.8
TAE    20180126            8.7       0.5       5.2
TAE    20180127            7.0       5.3       6.1
TAE    20180128            8.9       1.9       6.2
TAE    20180129           10.9       1.0       6.8
TAE    20180130            8.3       5.4       6.8
TAE    20180131            9.2       3.6       7.0
TAE    20180201            7.2      -0.8       2.5
TAE    20180202            4.0      -2.4       1.3
TAE    20180203            3.2      -1.9       0.6
TAE    20180204            2.8      -4.0      -0.7
TAE    20180205            1.5      -2.5      -0.8
TAE    20180206            0.7      -4.4      -1.9
TAE    20180207            0.7      -2.7      -0.4
TAE    20180208            0.3      -1.6      -0.7
TAE    20180209            1.1      -1.4      -0.1
TAE    20180210            1.8      -2.3      -0.1
TAE    20180211            2.7      -0.8       1.3
TAE    20180212            2.5      -4.0       0.0
TAE    20180213            1.5      -7.6      -3.9
TAE    20180214            2.1      -9.0      -4.0
TAE    20180215            7.9      -6.1       1.2
TAE    20180216            8.0       3.4       5.0
TAE    20180217            4.9      -0.4       2.1
TAE    20180218            0.3      -1.2      -0.3
TAE    20180219            0.7      -1.2      -0.5
TAE    20180220           -0.4      -2.4      -1.3
TAE    20180221           -0.7      -3.3      -1.8
TAE    20180222           -2.1      -3.7      -2.7
TAE    20180223           -2.1      -3.2      -2.8
TAE    20180224           -0.5      -4.0      -2.0
TAE    20180225           -4.1      -8.4      -6.5
TAE    20180226           -8.2     -11.3      -9.7
TAE    20180227           -7.1     -13.1      -9.6
TAE    20180228           -3.6     -13.8      -7.9
