stn    time           pva200d0
TAE    20180101            6.7
TAE    20180102            6.1
TAE    20180103            7.5
TAE    20180104            9.3
TAE    20180105            9.4
TAE    20180106            8.5
TAE    20180107            7.5
TAE    20180108            7.1
TAE    20180109            7.1
TAE    20180110            6.4
TAE    20180111            6.8
TAE    20180112            6.6
TAE    20180113            5.4
TAE    20180114            5.0
TAE    20180115            5.3
TAE    20180116            7.4
TAE    20180117            5.4
TAE    20180118            7.0
TAE    20180119            6.4
TAE    20180120            5.8
TAE    20180121            6.4
TAE    20180122            9.0
TAE    20180123            7.5
TAE    20180124            7.0
TAE    20180125            6.8
TAE    20180126            7.4
TAE    20180127            8.1
TAE    20180128            6.9
TAE    20180129            7.9
TAE    20180130            8.0
TAE    20180131            6.8
TAE    20180201            6.3
TAE    20180202            5.1
TAE    20180203            5.0
TAE    20180204            4.6
TAE    20180205            4.7
TAE    20180206            4.7
TAE    20180207            5.4
TAE    20180208            5.3
TAE    20180209            5.2
TAE    20180210            4.9
TAE    20180211            5.5
TAE    20180212            5.1
TAE    20180213            3.6
TAE    20180214            3.6
TAE    20180215            6.2
TAE    20180216            8.0
TAE    20180217            6.8
TAE    20180218            5.5
TAE    20180219            5.3
TAE    20180220            4.7
TAE    20180221            4.4
TAE    20180222            4.0
TAE    20180223            4.0
TAE    20180224            3.8
TAE    20180225            2.2
TAE    20180226            1.4
TAE    20180227            1.5
TAE    20180228            2.0
TAE    20180301            2.9
TAE    20180302            3.8
TAE    20180303            5.2
TAE    20180304            6.5
TAE    20180305            6.7
TAE    20180306            6.9
TAE    20180307            6.6
TAE    20180308            5.5
TAE    20180309            5.2
TAE    20180310            8.5
TAE    20180311            8.2
TAE    20180312            8.5
TAE    20180313            7.2
TAE    20180314            6.7
TAE    20180315            6.5
TAE    20180316            7.2
TAE    20180317            6.6
TAE    20180318            5.0
TAE    20180319            4.5
TAE    20180320            4.0
TAE    20180321            4.0
TAE    20180322            3.9
TAE    20180323            5.8
TAE    20180324            5.0
TAE    20180325            5.6
TAE    20180326            6.5
TAE    20180327            6.7
TAE    20180328            9.6
TAE    20180329            7.2
TAE    20180330            7.1
TAE    20180331            7.1
TAE    20180401            6.8
TAE    20180402            7.1
TAE    20180403            7.8
TAE    20180404            7.9
TAE    20180405            8.1
TAE    20180406            6.8
TAE    20180407            8.0
TAE    20180408            8.1
TAE    20180409            9.1
TAE    20180410            9.0
TAE    20180411            7.3
TAE    20180412            6.6
TAE    20180413            7.5
TAE    20180414            7.7
TAE    20180415            9.6
TAE    20180416           11.7
TAE    20180417            9.8
TAE    20180418            8.5
TAE    20180419            9.7
TAE    20180420           10.3
TAE    20180421           10.4
TAE    20180422           10.2
TAE    20180423           11.3
TAE    20180424           11.4
TAE    20180425           11.2
TAE    20180426            8.8
TAE    20180427            9.1
TAE    20180428           10.3
TAE    20180429           10.2
TAE    20180430            8.5
TAE    20180501            8.7
TAE    20180502            9.2
TAE    20180503           10.1
TAE    20180504           12.3
TAE    20180505           13.0
TAE    20180506           12.0
TAE    20180507           10.3
TAE    20180508           10.7
TAE    20180509           10.4
TAE    20180510           12.0
TAE    20180511           11.0
TAE    20180512           12.3
TAE    20180513           12.1
TAE    20180514           10.8
TAE    20180515           11.2
TAE    20180516           11.4
TAE    20180517           12.3
TAE    20180518           11.9
TAE    20180519           11.3
TAE    20180520           12.1
TAE    20180521           12.6
TAE    20180522           13.2
TAE    20180523           14.3
TAE    20180524           14.0
TAE    20180525           12.3
TAE    20180526           13.8
TAE    20180527           15.8
TAE    20180528           15.1
TAE    20180529           15.7
TAE    20180530           15.6
TAE    20180531           16.8
TAE    20180601           14.5
TAE    20180602           14.8
TAE    20180603           15.2
TAE    20180604           16.3
TAE    20180605           16.3
TAE    20180606           17.3
TAE    20180607           16.5
TAE    20180608           17.2
TAE    20180609           17.4
TAE    20180610           17.2
TAE    20180611           18.4
TAE    20180612           16.7
TAE    20180613           13.6
TAE    20180614           11.3
TAE    20180615           12.1
TAE    20180616           12.3
TAE    20180617           15.6
TAE    20180618           15.0
TAE    20180619           14.5
TAE    20180620           15.6
TAE    20180621           15.4
TAE    20180622            8.5
TAE    20180623            9.6
TAE    20180624           11.3
TAE    20180625           11.8
TAE    20180626           11.8
TAE    20180627           11.9
TAE    20180628           12.6
TAE    20180629           16.5
TAE    20180630           15.9
TAE    20180701           14.1
TAE    20180702           14.2
TAE    20180703           17.1
TAE    20180704           16.4
TAE    20180705           16.5
TAE    20180706           16.7
TAE    20180707           14.7
TAE    20180708           15.0
TAE    20180709           13.2
TAE    20180710           12.7
TAE    20180711           10.8
TAE    20180712           11.2
TAE    20180713           12.7
TAE    20180714           14.0
TAE    20180715           15.0
TAE    20180716           14.4
TAE    20180717           14.0
TAE    20180718           13.3
TAE    20180719           13.9
TAE    20180720           15.0
TAE    20180721           15.8
TAE    20180722           16.2
TAE    20180723           16.2
TAE    20180724           15.0
TAE    20180725           14.5
TAE    20180726           14.4
TAE    20180727           13.8
TAE    20180728           15.7
TAE    20180729           15.5
TAE    20180730           14.7
TAE    20180731           14.4
TAE    20180801           17.8
TAE    20180802           19.0
TAE    20180803           19.5
TAE    20180804           18.8
TAE    20180805           18.6
TAE    20180806           19.1
TAE    20180807           18.0
TAE    20180808           17.9
TAE    20180809           17.2
TAE    20180810           13.6
TAE    20180811           11.5
TAE    20180812           13.5
TAE    20180813           16.4
TAE    20180814           16.7
TAE    20180815           14.5
TAE    20180816           14.3
TAE    20180817           16.0
TAE    20180818           18.1
TAE    20180819           17.4
TAE    20180820           16.7
TAE    20180821           16.9
TAE    20180822           17.0
TAE    20180823           17.7
TAE    20180824           15.7
TAE    20180825           12.2
TAE    20180826            9.4
TAE    20180827           12.6
TAE    20180828           15.6
TAE    20180829           16.3
TAE    20180830           14.3
TAE    20180831           14.6
TAE    20180901           13.4
TAE    20180902           13.5
TAE    20180903           14.2
TAE    20180904           13.6
TAE    20180905           14.1
TAE    20180906           15.2
TAE    20180907           14.6
TAE    20180908           13.5
TAE    20180909           12.8
TAE    20180910           13.4
TAE    20180911           13.3
TAE    20180912           13.8
TAE    20180913           17.5
TAE    20180914           16.3
TAE    20180915           14.3
TAE    20180916           14.7
TAE    20180917           15.0
TAE    20180918           15.2
TAE    20180919           15.5
TAE    20180920           16.0
TAE    20180921           14.2
TAE    20180922           11.1
TAE    20180923           14.4
TAE    20180924            8.2
TAE    20180925            7.3
TAE    20180926            9.2
TAE    20180927           11.2
TAE    20180928           11.6
TAE    20180929           10.3
TAE    20180930           11.5
TAE    20181001           10.0
TAE    20181002            7.9
TAE    20181003           10.6
TAE    20181004           11.1
TAE    20181005           11.9
TAE    20181006           12.6
TAE    20181007           12.9
TAE    20181008           12.8
TAE    20181009           13.7
TAE    20181010           13.5
TAE    20181011           11.7
TAE    20181012           12.3
TAE    20181013           12.7
